#CREATED JANUARY 2020, LAUREN MEE, UNIVERSITY OF LIVERPOOL
#LIST OF NCBI TRANSCRIPTS ASSOCIATED WITH IMMUNITY IN APIS MELLIFERA (AmelHAv3.1, GCF_003254395.2) WITH GENE AND PROTEIN IDS, AND "CLASS" (CANON/NONCANON)
#CANONICAL IMMUNITY DETERMINED FROM EVANS ET AL 2006, NCBI BIOSYSTEMS PATHWAY RESOURCES AND USE OF OTHODB
#CANDIDATE NON-CANONICAL IMMUNITY BASED UPON THE COMBINED WORKS OF ALAUX ET AL 2011, RICHARD ET AL 2012 AND DOUBLET ET AL 2017.
TranscriptID	GeneID	ProteinID	Class
XM_397181.7	LOC413742	XP_397181.1	Canon
XM_397221.7	LOC413782	XP_397221.5	Canon
XM_397228.7	LOC413789	XP_397228.2	NonCanon
XM_397248.7	LOC413809	XP_397248.4	Canon
XM_397266.6	LOC413827	XP_397266.3	NonCanon
XM_397293.7	LOC413854	XP_397293.3	NonCanon
XM_397317.7	LOC413878	XP_397317.2	NonCanon
XM_397318.7	LOC413879	XP_397318.4	NonCanon
XM_397320.7	LOC413881	XP_397320.1	Canon
XM_397355.6	LOC413916	XP_397355.2	NonCanon
XM_397412.7	LOC413976	XP_397412.2	NonCanon
XM_397463.7	LOC414027	XP_397463.2	NonCanon
XM_397475.7	LOC414039	XP_397475.2	NonCanon
XM_397526.7	LOC408807	XP_397526.2	NonCanon
XM_623073.5	LOC409263	XP_623076.2	NonCanon
XM_623102.6	LOC550710	XP_623105.1	Canon
XM_623108.6	LOC550716	XP_623111.3	Canon
XM_623143.6	LOC412543	XP_623146.2	NonCanon
XM_623157.5	LOC550767	XP_623160.1	NonCanon
XM_623179.5	LOC550789	XP_623182.1	NonCanon
XM_623193.5	LOC550804	XP_623196.3	NonCanon
XM_623210.6	LOC408971	XP_623213.1	NonCanon
XM_623217.6	LOC550827	XP_623220.1	Canon
XM_623224.5	LOC550834	XP_623227.1	NonCanon
XM_623241.6	LOC409762	XP_623244.1	NonCanon
XM_623275.4	LOC550884	XP_623278.2	Canon
XM_623279.6	LOC409911	XP_623282.2	NonCanon
XM_623284.5	LOC409495	XP_623287.2	Canon
XM_623296.6	LOC550901	XP_623299.3	NonCanon
XM_623298.6	LOC550903	XP_623301.2	NonCanon
XM_623360.6	LOC550966	XP_623363.1	NonCanon
XM_623368.6	LOC409577	XP_623371.1	Canon
XM_623432.6	LOC551036	XP_623435.1	Canon
XM_623438.5	LOC551042	XP_623441.1	NonCanon
XM_623453.4	LOC551057	XP_623456.1	Canon
XM_623487.6	LOC551088	XP_623490.2	NonCanon
XM_623510.5	LOC551114	XP_623513.3	NonCanon
XM_623549.6	LOC551154	XP_623552.1	NonCanon
XM_623570.6	LOC551177	XP_623573.2	NonCanon
XM_623593.5	LOC551198	XP_623596.2	Canon
XM_623595.5	LOC551200	XP_623598.1	NonCanon
XM_623602.5	LOC551207	XP_623605.2	NonCanon
XM_623670.5	LOC551276	XP_623673.3	NonCanon
XM_623687.6	LOC551290	XP_623690.5	Canon
XM_623702.6	LOC551303	XP_623705.3	NonCanon
XM_623750.6	LOC551353	XP_623753.4	NonCanon
XM_623761.6	LOC551364	XP_623764.2	NonCanon
XM_623776.6	LOC551381	XP_623779.1	NonCanon
XM_623779.5	LOC551384	XP_623782.1	Canon
XM_623799.6	LOC551405	XP_623802.2	NonCanon
XM_623806.5	LOC551413	XP_623809.3	NonCanon
XM_623807.5	LOC551414	XP_623810.1	NonCanon
XM_623818.6	LOC551426	XP_623821.1	NonCanon
XM_623834.5	LOC551441	XP_623837.2	NonCanon
XM_623837.5	LOC551445	XP_623840.1	NonCanon
XM_623844.6	LOC551452	XP_623847.3	NonCanon
XM_623895.6	LOC551501	XP_623898.4	NonCanon
XM_623912.6	LOC551517	XP_623915.2	Canon
XM_623948.6	LOC551554	XP_623951.1	Canon
XM_623993.6	LOC551602	XP_623996.3	NonCanon
XM_623998.4	LOC551607	XP_624001.1	NonCanon
XM_623999.6	LOC551608	XP_624002.4	Canon
XM_624009.6	LOC551618	XP_624012.3	Canon
XM_624020.5	LOC551629	XP_624023.2	NonCanon
XM_624022.6	LOC551631	XP_624025.3	NonCanon
XM_624033.5	LOC551642	XP_624036.2	NonCanon
XM_624049.6	LOC551660	XP_624052.1	NonCanon
XM_624051.6	LOC551662	XP_624054.3	NonCanon
XM_624057.6	LOC551668	XP_624060.4	Canon
XM_624083.6	LOC551695	XP_624086.1	NonCanon
XM_624109.5	LOC551721	XP_624112.1	Canon
XM_624111.6	LOC551723	XP_624114.1	NonCanon
XM_624144.5	LOC551757	XP_624147.2	NonCanon
XM_624179.6	LOC551794	XP_624182.1	NonCanon
XM_624190.6	LOC551805	XP_624193.2	NonCanon
XM_624202.5	LOC551817	XP_624205.2	NonCanon
XM_624204.6	LOC551819	XP_624207.3	Canon
XM_624212.6	LOC551827	XP_624215.4	NonCanon
XM_624258.5	LOC551872	XP_624261.3	NonCanon
XM_624307.6	LOC551922	XP_624310.2	Canon
XM_624334.6	LOC551952	XP_624337.2	NonCanon
XM_624343.6	LOC551961	XP_624346.1	Canon
XM_624346.6	LOC551964	XP_624349.1	NonCanon
XM_624351.6	LOC551969	XP_624354.1	Canon
XM_624355.6	LOC551972	XP_624358.1	NonCanon
XM_624369.5	LOC551986	XP_624372.2	NonCanon
XM_624382.6	LOC552000	XP_624385.4	NonCanon
XM_624416.6	LOC552036	XP_624419.3	Canon
XM_624418.6	LOC552038	XP_624421.1	Canon
XM_624435.6	LOC552056	XP_624438.1	NonCanon
XM_624443.4	LOC552064	XP_624446.3	Canon
XM_624453.6	LOC552075	XP_624456.2	NonCanon
XM_624469.6	LOC552091	XP_624472.3	Canon
XM_624472.6	LOC413228	XP_624475.1	NonCanon
XM_624474.6	LOC552095	XP_624477.3	NonCanon
XM_624503.6	LOC552123	XP_624506.1	NonCanon
XM_624504.4	LOC552124	XP_624507.1	NonCanon
XM_624517.6	LOC552138	XP_624520.1	Canon
XM_624518.5	LOC552139	XP_624521.1	NonCanon
XM_624522.5	LOC552143	XP_624525.3	NonCanon
XM_624523.6	LOC552144	XP_624526.2	Canon
XM_624524.6	LOC552145	XP_624527.2	NonCanon
XM_624529.6	LOC552150	XP_624532.3	Canon
XM_624540.6	LOC552161	XP_624543.3	NonCanon
XM_624558.6	LOC552180	XP_624561.1	NonCanon
XM_624559.6	LOC552181	XP_624562.2	NonCanon
XM_624571.5	LOC552194	XP_624574.2	NonCanon
XM_624573.5	LOC552196	XP_624576.1	NonCanon
XM_624574.6	LOC552197	XP_624577.2	Canon
XM_624578.6	LOC552201	XP_624581.2	Canon
XM_624581.6	LOC552204	XP_624584.4	NonCanon
XM_624613.6	LOC552237	XP_624616.1	NonCanon
XM_624639.6	LOC552263	XP_624642.1	NonCanon
XM_624688.6	LOC552313	XP_624691.1	NonCanon
XM_624689.5	LOC552314	XP_624692.2	NonCanon
XM_624690.6	LOC552315	XP_624693.1	Canon
XM_624703.5	LOC552327	XP_624706.1	NonCanon
XM_624718.5	LOC552342	XP_624721.2	NonCanon
XM_624765.5	LOC552392	XP_624768.1	NonCanon
XM_624776.5	LOC552403	XP_624779.1	NonCanon
XM_624784.6	LOC552410	XP_624787.1	Canon
XM_624798.6	LOC552424	XP_624801.1	NonCanon
XM_624816.5	LOC552443	XP_624819.1	NonCanon
XM_624823.6	LOC552449	XP_624826.3	NonCanon
XM_624833.5	LOC552458	XP_624836.1	NonCanon
XM_624834.5	LOC552460	XP_624837.1	NonCanon
XM_624849.6	LOC552476	XP_624852.1	Canon
XM_624858.5	LOC552485	XP_624861.2	NonCanon
XM_624869.5	LOC552495	XP_624872.2	NonCanon
XM_624876.6	LOC552501	XP_624879.1	NonCanon
XM_624886.6	LOC552510	XP_624889.3	NonCanon
XM_624887.6	LOC552511	XP_624890.1	NonCanon
XM_624892.5	LOC552516	XP_624895.1	NonCanon
XM_624896.6	LOC552520	XP_624899.1	Canon
XM_624905.6	LOC552529	XP_624908.3	NonCanon
XM_624907.5	LOC552531	XP_624910.1	NonCanon
XM_624909.5	LOC552533	XP_624912.3	NonCanon
XM_624927.6	LOC552551	XP_624930.1	NonCanon
XM_624933.6	LOC552557	XP_624936.3	NonCanon
XM_624935.5	LOC552559	XP_624938.1	NonCanon
XM_624947.5	LOC552571	XP_624950.1	Canon
XM_624981.5	LOC552607	XP_624984.1	NonCanon
XM_625012.4	LOC552637	XP_625015.1	Canon
XM_625025.6	LOC552650	XP_625028.1	NonCanon
XM_625031.6	LOC552656	XP_625034.1	NonCanon
XM_625034.5	LOC552658	XP_625037.1	NonCanon
XM_625072.6	LOC552696	XP_625075.1	NonCanon
XM_625090.5	LOC552715	XP_625093.1	NonCanon
XM_625095.6	LOC552720	XP_625098.1	Canon
XM_625096.5	LOC552721	XP_625099.2	Canon
XM_625098.6	LOC552723	XP_625101.1	NonCanon
XM_625105.5	LOC552730	XP_625108.2	NonCanon
XM_625109.6	LOC552734	XP_625112.2	NonCanon
XM_625122.5	LOC552747	XP_625125.2	NonCanon
XM_625123.6	LOC552748	XP_625126.3	NonCanon
XM_625145.6	LOC552769	XP_625148.1	NonCanon
XM_625151.6	LOC552776	XP_625154.1	NonCanon
XM_625177.4	LOC552802	XP_625180.1	NonCanon
XM_625202.6	LOC552827	XP_625205.1	NonCanon
XM_625207.5	LOC552832	XP_625210.1	NonCanon
XM_625242.6	LOC551318	XP_625245.2	NonCanon
XM_625247.6	LOC551416	XP_625250.4	NonCanon
XM_625251.6	LOC551541	XP_625254.1	NonCanon
XR_001705167.1	LOC551591		NonCanon
XR_001705310.2	LOC113218526		NonCanon
XR_003304650.1	LOC552797		NonCanon
XR_003304948.1	LOC409425		NonCanon
XR_003305295.1	LOC102655244		NonCanon
XR_003305301.1	LOC726626		NonCanon
XR_003305367.1	LOC100577196		NonCanon
XR_003305376.1	LOC100577266		NonCanon
XR_003305533.1	LOC413101		NonCanon
XR_003305775.1	LOC102656453		NonCanon
XR_003306023.1	LOC113219220		NonCanon
XR_003306132.1	LOC726720		NonCanon
XR_003306152.1	LOC102653951		NonCanon
XR_003306184.1	LOC102655145		NonCanon
XR_003306554.1	LOC102654230		NonCanon
XR_409587.3	LOC102656201		NonCanon
XR_409736.3	LOC102655522		NonCanon
XR_409884.3	LOC724490		NonCanon
XR_410952.2	LOC551890		NonCanon
XR_411270.3	LOC102654142		NonCanon
XR_411830.3	LOC100576660		NonCanon
XR_411843.3	LOC411147		NonCanon
NM_001013361.1	18-w	NP_001013379.1	Canon
