#CREATED JANUARY 2020, LAUREN MEE, UNIVERSITY OF LIVERPOOL
#LIST OF NCBI TRANSCRIPTS ASSOCIATED WITH IMMUNITY IN APIS MELLIFERA (AmelHAv3.1, GCF_003254395.2) WITH GENE AND PROTEIN IDS, AND "CLASS" (CANON/NONCANON)
#CANONICAL IMMUNITY DETERMINED FROM EVANS ET AL 2006, NCBI BIOSYSTEMS PATHWAY RESOURCES AND USE OF OTHODB
#CANDIDATE NON-CANONICAL IMMUNITY BASED UPON THE COMBINED WORKS OF ALAUX ET AL 2011, RICHARD ET AL 2012 AND DOUBLET ET AL 2017.
TranscriptID	GeneID	ProteinID	Class
XM_006558738.3	LOC408766	XP_006558801.1	NonCanon
XM_006558793.3	LOC411233	XP_006558856.1	NonCanon
XM_006558816.3	LOC413246	XP_006558879.1	NonCanon
XM_006558862.3	LOC410107	XP_006558925.1	NonCanon
XM_006558875.2	LOC551841	XP_006558938.1	NonCanon
XM_006558876.2	LOC410105	XP_006558939.1	NonCanon
XM_006558900.3	LOC102653930	XP_006558963.1	NonCanon
XM_006558931.3	LOC410295	XP_006558994.2	NonCanon
XM_006559012.3	LOC551391	XP_006559075.1	NonCanon
XM_006559032.3	LOC726887	XP_006559095.2	NonCanon
XM_006559088.3	LOC408717	XP_006559151.1	Canon
XM_006559098.3	LOC408716	XP_006559161.1	NonCanon
XM_006559222.3	LOC413510	XP_006559285.1	NonCanon
XM_006559242.3	LOC412148	XP_006559305.1	NonCanon
XM_006559265.3	LOC552488	XP_006559328.1	NonCanon
XM_006559431.3	LOC409196	XP_006559494.1	NonCanon
XM_006559434.3	LOC724533	XP_006559497.1	NonCanon
XM_006559443.3	LOC551603	XP_006559506.1	NonCanon
XM_006559456.3	LOC552631	XP_006559519.2	NonCanon
XM_006559506.3	LOC409165	XP_006559569.1	Canon
XM_006559521.3	LOC102655836	XP_006559584.2	NonCanon
XM_006559522.3	LOC102655877	XP_006559585.1	NonCanon
XM_006559532.3	LOC412115	XP_006559595.1	Canon
XM_006559574.3	LOC413663	XP_006559637.1	Canon
