Gene	3hit	2hit
LOC726883	Pass	Pass
LOC726925	Pass	Pass
LOC726947	Pass	Pass
LOC726962	Pass	Pass
LOC726990	Pass	Pass
LOC727035	Pass	Pass
LOC727078	Pass	Pass
LOC727210	Pass	Pass
LOC727335	Pass	Pass
LOC727392	Pass	Pass
LOC727578	Pass	Pass
LOC727652	Pass	Pass
mGlutR1	Pass	Pass
Msx	Pass	Pass
nAChRa7	Pass	Pass
Nedd9	Pass	Pass
otd2	Pass	Pass
Reck	Pass	Pass
Ripk5	Pass	Pass
Sergef	Pass	Pass
sGC-alpha1	Pass	Pass
SIFR	Pass	Pass
Syt20	Pass	Pass
Usp	Pass	Pass
uzip	Pass	Pass
