Desc	Family ID	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
null	ORTHOMCL238	3	2	2	2	2	2	3	3	2	2	2
null	ORTHOMCL239	3	1	3	3	3	3	3	1	1	1	3
null	ORTHOMCL240	2	2	4	4	2	2	2	2	1	2	2
null	ORTHOMCL241	5	1	2	2	5	1	3	2	1	1	2
null	ORTHOMCL242	2	2	2	3	5	2	2	2	1	2	2
null	ORTHOMCL243	3	2	2	3	2	2	3	2	2	2	2
null	ORTHOMCL244	5	2	2	2	2	2	2	3	1	2	2
null	ORTHOMCL245	2	2	3	5	2	1	2	2	2	3	1
null	ORTHOMCL246	2	2	2	6	2	2	2	2	2	2	1
null	ORTHOMCL247	2	2	2	2	3	2	2	2	3	2	3
null	ORTHOMCL248	2	2	2	3	2	2	3	2	1	2	4
null	ORTHOMCL249	2	2	2	2	4	2	2	2	3	3	1
null	ORTHOMCL250	3	2	1	2	2	4	2	2	3	2	2
null	ORTHOMCL251	4	1	3	3	1	1	8	1	1	1	1
null	ORTHOMCL252	3	2	1	3	2	2	3	2	2	2	3
null	ORTHOMCL253	2	2	2	2	5	2	2	2	2	2	2
null	ORTHOMCL254	2	1	2	2	4	1	1	1	1	1	9
null	ORTHOMCL255	3	2	2	2	2	2	4	2	2	2	2
null	ORTHOMCL256	2	2	2	3	4	3	1	2	3	1	2
null	ORTHOMCL257	4	5	1	1	2	2	2	1	2	2	3
null	ORTHOMCL258	1	1	5	5	1	1	1	1	1	1	7
null	ORTHOMCL259	2	1	4	3	3	2	1	1	3	1	4
null	ORTHOMCL260	1	2	4	2	3	2	2	2	2	2	3
null	ORTHOMCL261	2	2	2	3	3	2	3	2	1	2	3
null	ORTHOMCL262	1	1	2	2	8	1	2	1	1	1	5
null	ORTHOMCL263	2	2	2	2	3	2	2	2	2	2	4
null	ORTHOMCL264	2	1	3	3	3	1	2	1	1	1	7
null	ORTHOMCL265	2	2	2	4	2	3	2	2	1	2	3
null	ORTHOMCL266	2	1	4	3	2	2	2	2	1	1	5
null	ORTHOMCL267	1	1	4	6	1	1	1	1	1	1	7
null	ORTHOMCL268	2	2	2	2	5	2	2	2	2	2	2
null	ORTHOMCL269	2	2	3	3	2	2	3	2	1	2	3
null	ORTHOMCL270	1	1	5	4	1	3	1	1	1	1	6
null	ORTHOMCL271	1	1	4	4	5	1	2	1	1	1	4
null	ORTHOMCL272	1	1	4	3	5	2	4	1	1	1	2
null	ORTHOMCL273	2	2	2	2	3	2	2	2	3	3	2
null	ORTHOMCL274	2	2	2	2	3	3	2	2	2	3	2
null	ORTHOMCL275	1	1	4	2	2	2	1	1	1	1	9
null	ORTHOMCL276	2	2	4	4	2	2	2	2	1	2	2
null	ORTHOMCL277	1	1	7	7	3	1	1	1	1	1	1
null	ORTHOMCL278	2	1	3	3	3	3	3	2	1	1	3
null	ORTHOMCL279	1	1	1	8	1	1	1	1	1	1	8
null	ORTHOMCL280	1	1	6	5	4	1	3	1	1	1	1
null	ORTHOMCL281	0	0	0	0	0	1	0	0	0	24	0
null	ORTHOMCL282	1	1	4	3	4	1	6	1	1	1	1
null	ORTHOMCL283	2	2	3	2	2	2	2	2	3	2	2
null	ORTHOMCL284	2	2	2	2	7	2	2	2	1	1	1
null	ORTHOMCL285	2	2	2	4	3	2	2	2	2	1	2
null	ORTHOMCL286	2	2	2	2	1	2	3	2	1	2	5
null	ORTHOMCL287	4	2	3	2	2	2	2	2	1	2	2
null	ORTHOMCL288	2	1	2	3	3	2	2	2	2	2	3
null	ORTHOMCL289	3	1	1	1	2	2	4	6	1	1	2
null	ORTHOMCL290	4	2	2	2	2	2	2	2	2	2	2
null	ORTHOMCL291	3	1	7	1	1	1	2	2	1	1	4
null	ORTHOMCL292	3	1	1	5	4	1	4	1	1	2	1
null	ORTHOMCL293	2	2	2	2	3	2	2	2	2	2	3
null	ORTHOMCL294	1	1	4	2	3	3	3	2	1	1	3
null	ORTHOMCL295	3	3	1	1	6	2	3	1	1	1	2
null	ORTHOMCL296	2	1	4	3	4	1	1	2	1	1	4
null	ORTHOMCL297	3	1	3	10	1	1	1	1	1	1	1
null	ORTHOMCL298	3	2	2	2	2	2	3	2	2	1	3
null	ORTHOMCL299	2	2	2	3	3	2	2	3	1	1	3
null	ORTHOMCL300	2	2	2	2	3	2	3	2	1	2	3
null	ORTHOMCL301	2	2	3	2	2	2	3	2	2	2	2
null	ORTHOMCL302	2	2	2	2	2	2	2	2	2	2	4
null	ORTHOMCL303	2	1	3	3	1	1	6	1	1	1	4
null	ORTHOMCL304	3	1	5	3	1	2	1	1	2	2	3
null	ORTHOMCL305	2	2	2	2	4	2	2	2	2	2	2
