GOterm	Canon_input	NonCan_input	Hym_Noncan	Solitary_Imm	Social_Imm	Complex_Imm	Solitary_Random	Social_Random	Complex_Random
GO:0099503	0	0	0	0	0	0	0	0	0
GO:0099509	0	0	0	0	0	0	0	0	1
GO:1900407	0	0	0	1	0	0	0	0	0
GO:1900409	0	0	0	0	0	0	0	0	0
GO:1901214	0	0	0	0	0	0	0	0	0
GO:1901216	0	0	0	0	0	0	0	0	0
GO:1901698	0	0	0	0	0	0	0	0	0
GO:1901699	0	0	0	0	0	0	0	0	0
GO:1901701	0	0	0	0	0	0	0	0	0
GO:1902882	0	0	0	1	0	0	0	0	0
GO:1902884	0	0	0	0	0	0	0	0	0
GO:1903201	0	0	0	1	0	0	0	0	0
GO:1903203	0	0	0	0	0	0	0	0	0
GO:1903209	0	0	0	0	0	0	0	0	0
GO:1903223	0	0	0	0	0	0	0	0	0
GO:1903350	0	0	0	0	0	0	0	0	0
GO:1903351	0	0	0	0	0	0	0	0	0
GO:1990834	0	0	0	0	0	0	0	0	1
GO:0001505	0	0	0	0	0	0	0	0	0
GO:0005216	0	0	0	0	0	0	0	0	0
GO:0005244	0	0	0	0	0	0	0	0	0
GO:0005249	0	0	0	0	0	0	0	0	0
GO:0005261	0	0	0	0	0	0	0	0	0
GO:0005267	0	0	0	0	0	0	0	0	0
GO:0006812	0	0	0	0	0	0	0	0	0
GO:0006813	0	0	0	0	0	0	0	0	0
GO:0007584	0	0	0	0	0	0	0	0	0
GO:0007622	0	0	0	0	1	0	0	0	0
GO:0007623	0	0	0	0	1	0	0	0	0
GO:0007626	0	0	0	0	1	1	0	0	0
GO:0007632	0	0	0	0	0	0	0	0	0
GO:0007634	0	0	0	0	0	0	0	0	0
GO:0007635	0	0	0	0	0	0	1	0	0
GO:0007637	0	0	0	0	0	0	0	0	0
GO:0008324	0	0	0	0	0	0	0	0	0
GO:0009314	0	0	0	0	0	0	0	0	0
GO:0009416	0	0	0	0	0	0	0	0	0
GO:0009628	0	0	0	0	1	0	0	0	0
GO:0009642	0	0	0	0	0	0	0	0	0
GO:0010646	1	0	0	0	0	0	0	0	0
GO:0014048	0	0	0	0	0	0	0	0	0
GO:0014059	0	0	0	0	0	0	0	0	0
GO:0015077	0	0	0	0	0	0	0	0	0
GO:0015079	0	0	0	0	0	0	0	0	0
GO:0015267	0	0	0	0	0	0	0	0	0
GO:0015318	0	0	0	0	0	0	0	0	0
GO:0015672	0	0	0	0	0	0	0	0	0
GO:0016057	0	0	0	0	0	0	0	0	0
GO:0022410	0	0	0	0	0	0	0	0	0
GO:0022803	0	0	0	0	0	0	0	0	0
GO:0022832	0	0	0	0	0	0	0	0	0
GO:0022836	0	0	0	0	0	0	1	0	0
GO:0022838	0	0	0	0	0	0	0	0	0
GO:0022839	0	0	0	0	0	0	1	0	0
GO:0022843	0	0	0	0	0	0	0	0	0
GO:0022890	0	0	0	0	0	0	0	0	0
GO:0023051	1	0	0	0	0	0	0	0	0
GO:0030001	0	0	0	0	0	0	0	0	0
GO:0030431	0	0	0	0	0	0	0	0	0
